선수명,IP,E,March_score,kWAR_score,AHP_score
정수빈,3.09132830427407,3.0,10.711,1.224,0.205
정은원,3.7504189673641646,13.0,22.097,2.21,0.457
정의윤,0.14340886265360225,1.0,0.286,0.029,0.005
정주현,2.942410430563658,13.0,17.213,1.721,0.356
정준혁,-1.1454795451670274,0.0,-1.072,-0.107,-0.019
정진기,-1.6962496289808713,0.0,-3.636,-0.217,-0.052000000000000005
정진호,-0.8565315080561411,0.0,-2.3219999999999996,-0.237,-0.041
정현,-1.4411815423650045,0.0,-7.904999999999999,-0.955,-0.22199999999999998
정훈,-1.5674872255070489,4.0,-2.8680000000000003,-0.312,-0.055
조셉,0.6905173316725011,4.0,1.367,0.0,0.015
조용호,-0.6490277976266096,0.0,-1.6680000000000001,-0.183,-0.032
조홍석,-1.3899189352357748,0.0,-3.668,-0.369,-0.064
주효상,-0.37501257365648527,1.0,-2.949,-0.369,-0.136
지석훈,-0.3963763767754068,5.0,-3.134,-0.291,-0.07300000000000001
지성준,0.06558953461924306,0.0,0.525,0.066,0.024
채은성,2.6287198910807223,2.0,6.506,0.52,0.094
채태인,0.6368014426306583,1.0,1.27,0.0,0.014
최경모,-1.0612624048832928,2.0,-6.446,-0.698,-0.17300000000000001
최민재,-0.5947094613531835,0.0,-1.487,-0.119,-0.021
최선호,-1.7475122361101008,0.0,-4.710999999999999,-0.472,-0.082
최승민,-0.5275920621618422,0.0,-1.847,-0.211,-0.035
최승준,-0.521477165454284,0.0,-1.043,0.0,-0.011
최영진,1.0063416213782834,8.0,3.168,0.366,0.08399999999999999
최원준,-1.248926738346836,6.0,-5.244,-0.38400000000000006,-0.11500000000000002
최윤석,-1.1161866268074676,2.0,-3.019,-0.345,-0.094
최재훈,3.1279444522235194,6.0,24.848,3.106,1.149
최정,2.993353506003121,14.0,13.786,2.068,0.427
최정민,-2.4154539933621835,0.0,-3.292,-0.359,-0.062
최정용,-1.718219317750541,1.0,-6.619,-0.677,-0.152
최주환,0.06132547259271459,3.0,3.5200000000000005,0.34700000000000003,0.06100000000000001
최준우,-0.9477523462399989,0.0,-2.03,-0.203,-0.042
최진행,0.3609720001274538,0.0,0.722,0.072,0.013
최항,-0.08727286942793089,3.0,1.4100000000000001,0.24,0.03900000000000001
최형우,0.6648860281078863,0.0,1.33,0.133,0.024
추재현,-0.6020326909430734,0.0,-1.505,-0.12,-0.022
터커,1.5787618622720307,4.0,3.56,0.309,0.05500000000000001
페게로,-0.9968812031463817,6.0,-2.248,-0.21500000000000002,-0.037
페르난데스,-0.18827021911429176,3.0,-0.366,0.0,-0.004
하주석,-0.47753778791494444,2.0,-3.052,-0.349,-0.095
한동민,2.2125407534872767,4.0,5.41,0.433,0.078
한동희,0.23494923252722644,9.0,1.6039999999999999,0.363,0.066
한승택,1.9537744359285159,5.0,15.505,1.938,0.717
한준수,-0.47387617311999947,0.0,-3.791,-0.474,-0.175
해즐베이커,-0.9257826574703291,1.0,-2.3179999999999996,-0.248,-0.043
허경민,2.1154913725568427,8.0,9.322,1.581,0.326
허도환,0.2706399631361614,2.0,2.148,0.268,0.099
허일,-1.868665056033051,1.0,-4.349,-0.309,-0.067
허정협,-0.8415655171865948,0.0,-1.936,-0.168,-0.03
호잉,2.575966035527344,2.0,7.359,0.706,0.122
홍재호,-1.053939175293403,1.0,-6.802999999999999,-0.74,-0.184
홍창기,-1.6596334810314215,0.0,-4.434,-0.445,-0.078
황대인,-1.057600790088348,0.0,-3.3329999999999997,-0.366,-0.086
황윤호,-0.7600845743572906,6.0,-4.5600000000000005,-0.546,-0.139
황재균,1.9092326111575926,11.0,7.2940000000000005,1.371,0.248
황진수,-1.195533819413925,0.0,-2.33,-0.35,-0.072
