선수명,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,팀명,포지션 수
정의윤,52,45,376,1,0,69,0,0,0.985714286,0,0,0,SK,2
정주현,128,124,972,13,0,209,307,77,0.975425331,0,0,0,LG,1
정준혁,4,2,24,0,0,2,0,0,1,0,0,0,롯데,2
정진기,12,3,42,0,0,11,1,0,1,0,0,0,SK,3
정진호,61,24,271.33,0,0,61,2,0,1,0,0,0,두산,3
정현,28,12,111.66,0,0,28,29,13,1,0,0,0,SK,3
정훈,79,42,414,4,0,263,14,25,0.985765125,0,0,0,롯데,5
조셉,45,44,357,4,0,352,33,36,0.989717224,0,0,0,LG,1
조용호,61,38,328,0,0,79,1,0,1,0,0,0,KT,3
조홍석,35,12,125.66,0,0,32,2,0,1,0,0,0,롯데,3
주효상,17,6,66,1,0,53,6,0,0.983333333,0,5,1,키움,1
지석훈,82,36,397,5,0,50,113,15,0.970238095,0,0,0,NC,3
지성준,45,13,186.33,0,0,142,10,2,1,2,15,3,한화,1
채은성,109,105,886.33,2,0,187,5,2,0.989690722,0,0,0,LG,1
채태인,53,45,342.33,1,0,338,25,30,0.997252747,0,0,0,롯데,1
최경모,17,1,47,2,0,8,14,3,0.916666667,0,0,0,SK,2
최민재,1,1,6,0,0,3,0,0,1,0,0,0,SK,1
최선호,12,0,28,0,0,13,0,0,1,0,0,0,삼성,3
최승민,9,2,24.33,0,0,11,0,0,1,0,0,0,NC,1
최승준,4,2,26,0,0,21,4,0,1,0,0,0,SK,1
최영진,89,65,611.67,8,0,287,88,42,0.979112272,0,0,0,삼성,2
최원준,88,51,501,6,0,89,56,4,0.960264901,0,0,0,KIA,5
최윤석,7,3,32,2,0,3,9,1,0.857142857,0,0,0,한화,2
최재훈,132,126,1022.67,6,3,788,76,17,0.993103448,8,84,31,한화,1
최정,135,133,1154.33,14,0,93,211,21,0.955974843,0,0,0,SK,2
최정민,4,2,14,0,0,3,0,0,1,0,0,0,KIA,4
최정용,8,3,36,1,0,11,8,1,0.95,0,0,0,KIA,3
최주환,75,69,522,3,0,119,172,40,0.989795918,0,0,0,두산,3
최준우,13,11,78,0,0,15,25,4,1,0,0,0,SK,2
최진행,44,36,267,0,0,68,0,0,1,0,0,0,한화,1
최항,47,41,313,3,0,96,81,20,0.983333333,0,0,0,SK,2
