선수명,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
김규민,720,642,169,138,19,5,7,98,72,55,0,12,187,7,11,10,11,8,0.329608938547486,0.3411214953271028,0.6707304338745887,0.2336043961781444,0.21651090342679127,0.604887983706721,56.20420149778374,2.0816370925105088,75.42400000000002,0.07788161993769471,8.555555555555555,1.1982248603351955,0.025821055861244564,0.35604395604395606
김현수,2320,2032,649,440,134,5,70,338,398,241,27,12,208,35,35,36,7,6,0.3887931034482759,0.4936023622047244,0.8823954656530003,0.29835748710290527,0.39616141732283466,0.8863157894736842,363.90366161830616,13.4779133932706,380.306,0.17421259842519687,12.727272727272727,0.73165721761884,0.5263232836930121,0.3236444941307993
채은성,2376,2135,641,460,103,8,70,283,396,146,6,57,379,28,38,50,14,14,0.35672020287404904,0.45433255269320844,0.8110527555672575,0.2741072294666242,0.3072599531615925,0.7618741976893453,298.62095174708793,11.060035249892145,335.68799999999993,0.15409836065573773,23.333333333333332,0.6831716101694916,0.4279946475153646,0.3331388564760793
스크럭스,1089,938,260,140,59,0,61,166,208,120,4,24,278,6,6,22,7,2,0.3713235294117647,0.535181236673774,0.9065047660855388,0.30089089740373764,0.5191897654584222,0.9301994301994302,146.54104537883393,5.427446125141997,180.616,0.25799573560767597,12.558823529411764,1.066793357933579,0.1526745105379403,0.32892561983471075
양석환,1693,1534,406,255,81,3,67,189,274,114,4,23,335,17,22,32,7,12,0.3216824644549763,0.45241199478487615,0.7740944592398524,0.25786010770095835,0.35723598435462844,0.7150170648464164,177.7595848602989,6.5836883281592185,220.19,0.18774445893089964,12.675675675675675,0.785520190023753,0.20956925658146186,0.2950391644908616
이지영,1417,1283,365,316,40,6,3,153,151,88,6,15,140,8,29,51,13,6,0.3357245337159254,0.33203429462197975,0.6677588283379052,0.23408461382766138,0.1597817614964926,0.5558974358974359,128.8843888498477,4.773495883327693,133.77000000000007,0.04754481683554174,4.875,0.772286023054755,0.12232916085740062,0.3153310104529617
노진혁,1723,1532,425,275,89,9,52,216,225,155,5,14,369,7,21,26,5,9,0.3477751756440281,0.4490861618798956,0.7968613375239237,0.26877036950978656,0.3681462140992167,0.7548161120840631,194.11606198830373,7.1894837773445825,232.07799999999995,0.1716710182767624,9.12280701754386,0.7862977099236641,0.24021971995869562,0.3336314847942755
민병헌,1825,1610,469,344,81,2,42,246,205,151,6,37,270,17,24,47,35,20,0.36198347107438017,0.422360248447205,0.7843437195215852,0.26848262409527235,0.31180124223602484,0.7475165562913907,214.942821775119,7.960845250930333,241.17000000000002,0.13105590062111805,38.18181818181818,0.7517191818684357,0.27935894728012467,0.3247148288973384
유강남,2216,1993,541,360,102,0,79,230,316,129,5,64,393,13,30,75,5,1,0.3337880854934061,0.44154540893125943,0.7753334944246655,0.2605909907048476,0.327646763672855,0.7054973821989529,233.90617584367624,8.663191697913934,277.38599999999997,0.17009533366783747,9.404761904761905,0.6996567912488605,0.3146329951282063,0.3011734028683181
임병욱,953,881,236,161,53,8,14,128,114,52,2,11,253,3,9,14,31,6,0.31573389651531153,0.3938706015891033,0.7096044981044148,0.24054790382916602,0.2985244040862656,0.6631578947368421,82.55818472803355,3.057710545482724,108.25600000000003,0.12599318955732125,19.288888888888888,1.0286698412698412,0.054095985098150466,0.35980551053484605
