#,선수명,팀명,경기,타석,타수,안타,단타,2루타,3루타,홈런,득점,타점,볼넷,고4,HBP,삼진,희플,희타,병살,도루,도실,타율,OBP,SLG,OPS,GPA,SECA,TA,RC,RC27,XR,ISO,PSN,wOBA,OW%,BABIP
58,강한울,삼성,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000018,-0.007407407407407414,-0.18,0.0,,4.905,,0.0
59,박주홍,Hero,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30666666666666687,-0.011358024691358033,-0.188,0.0,,4.905,,0.0
60,이성우,LG,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,-0.003703703703703707,-0.09,0.0,,9.81,,0.0
61,정주현,LG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,-0.003703703703703707,-0.09,0.0,,9.81,,0.0
62,김민혁,KT,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,-0.003703703703703707,-0.09,0.0,,9.81,,0.0
63,손호영,LG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43333333333333346,-0.016049382716049387,-0.45999999999999996,0.0,,9.81,,0.0
64,오선진,삼성,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,1.0,,,,inf,inf,0.3428888888888889,0.012699588477366255,0.34,,,10.499,,
65,김웅빈,Hero,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-,0.0,,,,,,0.06239999999999979,0.002311111111111103,0.41,,,9.81,,0.0
66,박승규,삼성,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,1.0,,,,inf,inf,0.3428888888888889,0.012699588477366255,0.34,,,10.499,,
67,조수행,두산,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,-,,,,,inf,inf,,,0.18,,0.0,inf,,
68,안권수,두산,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,0.0,,,inf,,
69,박지훈,두산,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,0.0,,,inf,,
70,김성표,삼성,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,0.0,,,inf,,
71,예진원,Hero,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,0.0,,,inf,,
72,김재현,Hero,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,0.0,,,inf,,
73,박정음,Hero,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,0.0,,,inf,,
74,김용의,LG,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-,,,,,inf,inf,,,0.18,,0.0,inf,,
75,장승현,두산,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,0.0,,,inf,,
76,안익훈,LG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,0.0,,,inf,,
77,신준우,Hero,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,,,,,,,,0.0,,,inf,,
