,index,타석,안타,홈런,득점,타점,도루,OPS,WAR,DC,팀명,Salary_19
150,안치영KT,7,1,0,1,0,0,0.453,-0.03,7.8,KT,2900
191,이유찬두산,13,3,0,6,1,5,0.462,-0.01,19.277,두산,2900
201,이창열한화,16,2,0,3,1,0,0.421,-0.13,5.4,한화,2900
206,이현동삼성,2,0,0,0,0,0,0,-0.06,0.934,삼성,2900
257,최준우SK,36,7,0,3,0,0,0.551,-0.1,45.6,SK,2900
7,고명성KT,18,2,0,4,0,0,0.347,-0.17,36.45,KT,2800
30,김병희KT,7,1,0,0,0,0,0.286,-0.11,10.2,KT,2800
105,박유연두산,1,0,0,0,0,0,0,-0.03,2,두산,2800
207,이현석SK,3,0,0,0,0,0,0,-0.08,9,SK,2800
245,최민재SK,2,0,0,0,0,0,0,-0.06,1.2,SK,2800
2,강민국KT,94,24,0,12,7,2,0.614,0.15,171.306,KT,2700
8,고승민롯데,89,21,0,7,6,0,0.657,0.06,109.113,롯데,2700
11,공민규삼성,60,13,3,4,6,0,0.767,0.17,0,삼성,2700
12,구본혁LG,95,15,1,10,6,2,0.469,-0.52,184.777,LG,2700
17,김경호두산,27,5,0,4,2,0,0.423,-0.29,19.534,두산,2700
19,김대한두산,18,0,0,4,0,0,0.167,-0.28,18.498,두산,2700
20,김도환삼성,106,19,2,7,7,0,0.598,0.07,298.172,삼성,2700
25,김민수롯데,37,8,0,0,1,0,0.621,0,51.104,롯데,2700
40,김은성키움,10,1,0,1,0,0,0.425,-0.04,12.341,키움,2700
52,김주형키움,1,0,0,0,0,0,0,-0.03,1.8,키움,2700
57,김진형NC,23,3,0,2,2,0,0.336,-0.39,0,NC,2700
59,김창평SK,53,8,0,4,3,0,0.482,-0.26,76.4,SK,2700
61,김철호NC,2,0,0,0,0,0,0,-0.06,0,NC,2700
80,노시환한화,192,33,1,19,13,2,0.501,-1.29,140.98,한화,2700
87,류형우LG,12,2,0,2,1,0,0.432,-0.1,6.6,LG,2700
97,박민석KT,1,0,0,0,0,0,0,-0.03,1.6,KT,2700
102,박승규삼성,23,4,0,2,2,1,0.451,-0.19,19,삼성,2700
113,박한결한화,11,2,0,0,0,0,0.364,-0.17,23.2,한화,2700
117,배성근롯데,48,9,0,4,2,1,0.498,-0.18,62.547,롯데,2700
126,변우혁한화,61,12,1,7,2,0,0.63,-0.07,0,한화,2700
137,송승환두산,2,0,0,0,0,0,0,-0.06,0,두산,2700
140,신민재LG,94,19,0,25,5,10,0.595,-0.22,102.932,LG,2700
144,신용수롯데,20,2,1,4,2,0,0.35,-0.26,32.43,롯데,2700
148,안승한KT,47,6,0,4,5,0,0.333,-0.48,116.501,KT,2700
155,예진원키움,8,1,0,1,1,0,0.708,0.03,3.6,키움,2700
156,오선우KIA,57,8,1,5,4,0,0.475,-0.46,22.934,KIA,2700
161,오정환KIA,29,4,0,8,1,0,0.286,-0.55,41.544,KIA,2700
169,유영준NC,4,0,0,0,0,0,0,-0.12,1.2,NC,2700
170,유장혁한화,61,9,1,10,4,3,0.466,-0.41,35.066,한화,2700
189,이원석한화,9,0,0,3,0,2,0.333,0.01,4.4,한화,2700
193,이인혁NC,9,2,1,1,1,0,0.958,0.09,5,NC,2700
200,이찬건롯데,2,0,0,0,0,0,0,-0.05,2.4,롯데,2700
204,이학주삼성,436,101,7,42,36,15,0.701,1.91,716.837,삼성,2700
212,임지열키움,18,2,0,0,3,0,0.435,-0.15,12.495,키움,2700
221,전준호LG,5,0,0,0,0,0,0,-0.12,24,LG,2700
225,정보근롯데,35,4,0,3,1,0,0.325,-0.32,89.67,롯데,2700
231,정준혁롯데,11,3,0,1,1,0,0.546,-0.06,4.4,롯데,2700
244,최경모SK,16,1,0,2,1,0,0.188,-0.31,30.741,SK,2700
247,최승민NC,10,4,0,5,1,6,1.056,0.18,9.732,NC,2700
261,추재현키움,1,0,0,0,0,0,0,-0.03,0.8,키움,2700
269,한준수KIA,20,6,0,2,2,0,0.7,0.07,39,KIA,2700
