선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
윤진호,LG,유격수,21,2,49.33,1,0,11,9,3,0.952 ,0,0,0,-
윤진호,LG,3루수,39,2,100,1,0,4,21,2,0.962 ,0,0,0,-
윤진호,LG,2루수,51,0,101,0,0,25,41,11,1.000 ,0,0,0,-
윤해진,KIA,3루수,1,0,3,0,0,0,0,0,-,0,0,0,-
이대형,KT,좌익수,1,0,1,0,0,1,0,0,1.000 ,0,0,0,-
이대형,KT,중견수,1,0,5,0,0,2,0,0,1.000 ,0,0,0,-
이대호,롯데,1루수,21,20,147.67,1,0,140,17,16,0.994 ,0,0,0,-
이동훈,한화,우익수,2,0,5,0,0,1,0,0,1.000 ,0,0,0,-
이동훈,한화,중견수,11,0,28,0,0,10,0,0,1.000 ,0,0,0,-
이동훈,한화,좌익수,8,5,39.33,0,0,9,0,0,1.000 ,0,0,0,-
이명기,NC,중견수,32,24,207,1,0,61,2,1,0.984 ,0,0,0,-
이명기,NC,좌익수,65,45,400.67,0,0,97,0,0,1.000 ,0,0,0,-
이명기,NC,우익수,65,49,419.67,1,0,109,0,0,0.991 ,0,0,0,-
이범호,KIA,3루수,1,1,5,0,0,0,1,0,1.000 ,0,0,0,-
이범호,KIA,1루수,3,1,10,0,0,5,1,0,1.000 ,0,0,0,-
이상호,NC,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
이상호,NC,중견수,7,2,20,0,0,5,0,0,1.000 ,0,0,0,-
이상호,NC,3루수,22,15,130,2,0,10,28,4,0.950 ,0,0,0,-
이상호,NC,1루수,38,17,181.33,2,0,173,17,19,0.990 ,0,0,0,-
이상호,NC,2루수,35,19,190.67,1,0,50,53,16,0.990 ,0,0,0,-
이성곤,삼성,좌익수,2,1,9,0,0,2,0,0,1.000 ,0,0,0,-
이성곤,삼성,우익수,5,4,31,0,0,11,1,0,1.000 ,0,0,0,-
이성규,삼성,2루수,1,1,8,1,0,1,8,1,0.900 ,0,0,0,-
이성규,삼성,3루수,6,5,36,2,0,7,5,1,0.857 ,0,0,0,-
이성규,삼성,유격수,5,4,38,0,0,7,8,4,1.000 ,0,0,0,-
이성열,한화,좌익수,2,0,4,0,0,0,0,0,-,0,0,0,-
이성열,한화,1루수,23,18,159,2,0,159,11,19,0.988 ,0,0,0,-
이성열,한화,우익수,54,49,388,3,0,91,3,0,0.969 ,0,0,0,-
이성우,LG,포수,53,19,210,3,0,143,16,0,0.981 ,0,23,8,25.8
이우성,KIA,우익수,2,0,4,0,0,0,0,0,-,0,0,0,-
이우성,KIA,중견수,3,3,22,0,0,8,0,0,1.000 ,0,0,0,-
이우성,KIA,좌익수,38,29,242.33,1,0,53,1,0,0.982 ,0,0,0,-
이원석,삼성,1루수,1,0,0,0,0,0,0,0,-,0,0,0,-
이원석,삼성,3루수,88,87,722,13,0,45,126,11,0.929 ,0,0,0,-
이원석,한화,우익수,2,0,2,0,0,1,0,0,1.000 ,0,0,0,-
이원석,한화,좌익수,2,0,5,0,0,0,0,0,-,0,0,0,-
이원석,한화,중견수,4,0,10,0,0,4,0,0,1.000 ,0,0,0,-
이원재,NC,우익수,3,0,4,0,0,1,0,0,1.000 ,0,0,0,-
이원재,NC,좌익수,24,18,155.67,0,0,24,2,1,1.000 ,0,0,0,-
이원재,NC,1루수,58,42,369,4,0,351,20,24,0.989 ,0,0,0,-
이유찬,두산,3루수,4,1,10.67,0,0,0,1,0,1.000 ,0,0,0,-
이유찬,두산,2루수,9,2,23,1,0,5,9,0,0.933 ,0,0,0,-
이인행,KIA,우익수,8,6,37,0,0,7,0,0,1.000 ,0,0,0,-
이인혁,NC,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
이인혁,NC,중견수,2,0,5,0,0,3,0,0,1.000 ,0,0,0,-
이인혁,NC,우익수,3,2,15,0,0,2,0,0,1.000 ,0,0,0,-
이재원,SK,포수,136,121,1041,6,0,889,58,4,0.994 ,3,84,19,18.4
이정후,키움,우익수,52,29,282,0,0,67,3,2,1.000 ,0,0,0,-
이정후,키움,중견수,47,37,322.33,1,0,71,1,0,0.986 ,0,0,0,-
이정후,키움,좌익수,76,64,537.67,1,0,124,2,2,0.992 ,0,0,0,-
이정훈,KIA,포수,6,4,32,0,0,29,1,0,1.000 ,0,8,1,11.1
이준수,KT,포수,32,14,141.67,2,0,96,10,0,0.981 ,1,16,3,15.8
이지영,키움,포수,83,74,605,3,2,468,39,8,0.994 ,3,40,12,23.1
이진영,KIA,좌익수,4,0,7,0,0,1,0,0,1.000 ,0,0,0,-
이진영,KIA,중견수,1,1,8,0,0,2,0,0,1.000 ,0,0,0,-
이진영,KIA,우익수,4,3,25,0,0,8,0,0,1.000 ,0,0,0,-
이찬건,롯데,중견수,2,0,6,0,0,1,0,0,1.000 ,0,0,0,-
이창열,한화,유격수,1,0,3,0,0,0,0,0,-,0,0,0,-
이창열,한화,2루수,1,0,3,0,0,0,0,0,-,0,0,0,-
이창열,한화,3루수,2,1,9,0,0,1,3,0,1.000 ,0,0,0,-
이창진,KIA,3루수,3,1,9,1,0,0,0,0,0.000 ,0,0,0,-
이창진,KIA,2루수,8,5,45,0,0,9,14,5,1.000 ,0,0,0,-
이창진,KIA,중견수,126,110,963.33,4,0,278,6,1,0.986 ,0,0,0,-
이천웅,LG,우익수,4,0,9,0,0,3,0,0,1.000 ,0,0,0,-
이천웅,LG,좌익수,6,3,21.67,0,0,5,0,0,1.000 ,0,0,0,-
이천웅,LG,중견수,124,121,1039.67,1,0,264,6,3,0.996 ,0,0,0,-
이학주,삼성,1루수,1,0,3,0,0,4,0,0,1.000 ,0,0,0,-
이학주,삼성,유격수,116,110,935.33,19,0,155,281,67,0.958 ,0,0,0,-
이해창,KT,포수,25,12,103.33,1,0,68,10,1,0.987 ,3,6,5,45.5
이현동,삼성,우익수,1,1,7,1,0,2,0,0,0.667 ,0,0,0,-
이현석,SK,포수,2,1,9,0,0,7,0,0,1.000 ,0,0,0,-
이형종,LG,1루수,2,0,3,0,0,1,0,1,1.000 ,0,0,0,-
이형종,LG,중견수,28,21,170.33,0,0,53,0,0,1.000 ,0,0,0,-
이형종,LG,우익수,37,30,268,0,0,85,5,1,1.000 ,0,0,0,-
이형종,LG,좌익수,43,40,315,2,0,62,2,0,0.970 ,0,0,0,-
이흥련,두산,포수,23,8,91,0,0,47,4,0,1.000 ,0,6,3,33.3
임병욱,키움,중견수,117,101,904.67,4,0,248,9,2,0.985 ,0,0,0,-
임재현,SK,좌익수,3,0,5,0,0,1,0,0,1.000 ,0,0,0,-
임재현,SK,우익수,1,1,6,0,0,0,0,0,-,0,0,0,-
임지열,키움,1루수,3,1,5,1,0,4,1,0,0.833 ,0,0,0,-
임지열,키움,3루수,5,2,25,1,0,3,2,0,0.833 ,0,0,0,-
장성우,KT,포수,125,107,911.67,5,0,626,54,4,0.993 ,10,60,24,28.6
장승현,두산,포수,34,8,119,0,0,69,7,1,1.000 ,1,5,3,37.5
장영석,키움,1루수,40,20,221.33,3,0,179,15,15,0.985 ,0,0,0,-
장영석,키움,3루수,67,63,511,7,0,31,117,8,0.955 ,0,0,0,-
장운호,한화,우익수,2,1,11,0,0,1,0,0,1.000 ,0,0,0,-
장운호,한화,좌익수,4,1,14,0,0,1,1,0,1.000 ,0,0,0,-
장진혁,한화,우익수,18,15,127.33,0,0,31,1,0,1.000 ,0,0,0,-
장진혁,한화,좌익수,45,34,265,3,0,68,2,0,0.959 ,0,0,0,-
장진혁,한화,중견수,62,31,350.33,0,0,104,3,0,1.000 ,0,0,0,-
전민수,LG,중견수,3,0,4,0,0,1,0,0,1.000 ,0,0,0,-
전민수,LG,좌익수,21,2,61,0,0,17,1,0,1.000 ,0,0,0,-
전민수,LG,우익수,16,5,66,0,0,19,2,0,1.000 ,0,0,0,-
전민재,두산,3루수,1,0,1,0,0,0,1,0,1.000 ,0,0,0,-
전병우,롯데,유격수,3,1,8,0,0,0,2,0,1.000 ,0,0,0,-
전병우,롯데,3루수,3,1,12,0,0,0,1,0,1.000 ,0,0,0,-
전병우,롯데,2루수,4,2,16.33,1,0,1,4,1,0.833 ,0,0,0,-
전병우,롯데,1루수,11,8,64.33,1,0,66,4,4,0.986 ,0,0,0,-
전준우,롯데,중견수,3,2,17,0,0,5,0,0,1.000 ,0,0,0,-
전준우,롯데,좌익수,134,133,1148,4,0,233,7,2,0.984 ,0,0,0,-
전준호,LG,포수,8,2,24,0,0,20,0,0,1.000 ,0,0,0,-
정근우,한화,1루수,30,24,206.67,4,0,192,11,22,0.981 ,0,0,0,-
정근우,한화,중견수,52,46,352.33,2,0,88,2,0,0.978 ,0,0,0,-
정범모,NC,포수,25,8,103,1,0,89,5,1,0.989 ,0,7,4,36.4
정병곤,두산,3루수,2,0,6,0,0,1,1,0,1.000 ,0,0,0,-
정병곤,두산,유격수,3,2,21,1,0,3,7,0,0.909 ,0,0,0,-
정병곤,두산,2루수,13,5,50.67,0,0,11,18,4,1.000 ,0,0,0,-
정보근,롯데,포수,15,10,89.67,0,0,72,7,1,1.000 ,0,5,4,44.4
정상호,LG,포수,21,6,64,0,0,47,4,0,1.000 ,2,7,0,0
정수빈,두산,중견수,121,114,1012.67,3,0,302,4,1,0.990 ,0,0,0,-
정은원,한화,2루수,142,137,1192.67,13,0,299,421,115,0.982 ,0,0,0,-
정의윤,SK,우익수,23,21,168,1,0,28,0,0,0.966 ,0,0,0,-
정의윤,SK,좌익수,29,24,208,0,0,41,0,0,1.000 ,0,0,0,-
정주현,LG,2루수,128,124,972,13,0,209,307,77,0.975 ,0,0,0,-
정준혁,롯데,우익수,1,0,2,0,0,0,0,0,-,0,0,0,-
정준혁,롯데,좌익수,3,2,22,0,0,2,0,0,1.000 ,0,0,0,-
정진기,SK,1루수,1,0,1,0,0,1,1,0,1.000 ,0,0,0,-
정진기,SK,좌익수,2,0,6,0,0,1,0,0,1.000 ,0,0,0,-
정진기,SK,우익수,9,3,35,0,0,9,0,0,1.000 ,0,0,0,-
정진호,두산,중견수,10,9,79,0,0,18,0,0,1.000 ,0,0,0,-
정진호,두산,좌익수,29,5,88.33,0,0,19,1,0,1.000 ,0,0,0,-
정진호,두산,우익수,22,10,104,0,0,24,1,0,1.000 ,0,0,0,-
정현,SK,3루수,2,1,5.33,0,0,0,1,0,1.000 ,0,0,0,-
정현,SK,유격수,14,5,45,0,0,7,12,5,1.000 ,0,0,0,-
정현,SK,2루수,12,6,61.33,0,0,21,16,8,1.000 ,0,0,0,-
정훈,롯데,2루수,1,0,2,1,0,1,0,0,0.500 ,0,0,0,-
정훈,롯데,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
정훈,롯데,우익수,8,0,15,0,0,1,0,0,1.000 ,0,0,0,-
정훈,롯데,중견수,27,17,156.33,2,0,43,0,0,0.956 ,0,0,0,-
정훈,롯데,1루수,42,25,238.67,1,0,218,14,25,0.996 ,0,0,0,-
조셉,LG,1루수,45,44,357,4,0,352,33,36,0.990 ,0,0,0,-
조용호,KT,좌익수,16,4,50,0,0,3,0,0,1.000 ,0,0,0,-
조용호,KT,중견수,18,12,96.67,0,0,34,0,0,1.000 ,0,0,0,-
