순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
54,김민하,한화,좌익수,31,14,128 1/3,0,0,28,1,1,1,0,0,0,-
54,배영섭,삼성,좌익수,31,21,165,1,0,34,0,0,0.971,0,0,0,-
58,백창수,한화,좌익수,30,17,157 2/3,2,0,23,2,0,0.926,0,0,0,-
58,박찬도,삼성,우익수,30,11,152 2/3,0,0,25,1,1,1,0,0,0,-
60,오태곤,KT,우익수,29,21,176,1,0,41,2,1,0.977,0,0,0,-
61,나경민,롯데,중견수,28,13,118 2/3,0,0,34,0,0,1,0,0,0,-
61,이형종,LG,좌익수,28,24,196,1,0,38,1,0,0.975,0,0,0,-
61,박한이,삼성,우익수,28,24,210,0,0,50,1,1,1,0,0,0,-
64,정훈,롯데,중견수,27,11,121,0,0,22,1,1,1,0,0,0,-
65,정수빈,두산,중견수,26,25,214 2/3,2,0,90,1,0,0.978,0,0,0,-
65,이병규,롯데,좌익수,26,18,173,1,0,31,2,1,0.971,0,0,0,-
67,송민섭,KT,좌익수,25,4,63,0,0,17,1,0,1,0,0,0,-
68,박건우,두산,우익수,24,22,189 1/3,0,0,35,1,1,1,0,0,0,-
68,민병헌,롯데,우익수,24,17,156,0,0,26,1,0,1,0,0,0,-
68,전준우,롯데,중견수,24,17,161,0,0,29,0,0,1,0,0,0,-
68,김재현,SK,좌익수,24,6,86 2/3,1,0,23,0,0,0.958,0,0,0,-
72,강진성,NC,좌익수,23,10,110,0,0,24,0,0,1,0,0,0,-
72,김재현,SK,우익수,23,6,74 1/3,0,0,18,1,1,1,0,0,0,-
74,김문호,롯데,좌익수,22,14,132,2,0,27,0,0,0.931,0,0,0,-
74,이우성,NC,우익수,22,15,125,1,0,30,0,0,0.968,0,0,0,-
74,샌즈,넥센,우익수,22,18,160 2/3,0,0,30,1,0,1,0,0,0,-
77,이택근,넥센,좌익수,21,21,149,2,0,30,0,0,0.938,0,0,0,-
78,나지완,KIA,좌익수,20,3,42 2/3,0,0,12,0,0,1,0,0,0,-
78,유재신,KIA,좌익수,20,4,53 1/3,1,0,12,1,0,0.929,0,0,0,-
80,최정민,KIA,중견수,19,10,89 1/3,0,0,15,0,0,1,0,0,0,-
80,정진기,SK,좌익수,19,10,100 1/3,2,0,23,0,0,0.92,0,0,0,-
82,버나디나,KIA,우익수,18,2,47,1,0,9,0,0,0.9,0,0,0,-
82,김민하,한화,중견수,18,4,62,0,0,22,0,0,1,0,0,0,-
84,유재신,KIA,중견수,17,2,41,0,0,12,0,0,1,0,0,0,-
84,조홍석,롯데,중견수,17,12,98 1/3,0,0,22,1,0,1,0,0,0,-
84,이성열,한화,좌익수,17,17,128,0,0,26,0,0,1,0,0,0,-
87,박준태,KIA,중견수,16,4,49,0,0,19,0,0,1,0,0,0,-
87,나경민,롯데,우익수,16,0,25,0,0,8,0,0,1,0,0,0,-
87,이원재,NC,좌익수,16,11,87,1,0,25,0,0,0.962,0,0,0,-
87,이천웅,LG,우익수,16,7,73 1/3,0,0,11,0,0,1,0,0,0,-
87,장진혁,한화,좌익수,16,6,60 1/3,0,0,10,1,0,1,0,0,0,-
87,김헌곤,삼성,우익수,16,14,99,0,0,24,0,0,1,0,0,0,-
93,파레디스,두산,우익수,15,15,91 2/3,1,0,20,1,1,0.955,0,0,0,-
94,박준태,KIA,좌익수,14,3,40 2/3,0,0,8,0,0,1,0,0,0,-
94,조수행,두산,좌익수,14,1,39,0,0,5,1,0,1,0,0,0,-
94,정의윤,SK,우익수,14,9,85,0,0,22,1,0,1,0,0,0,-
94,임훈,LG,좌익수,14,7,67,0,0,10,0,0,1,0,0,0,-
94,송민섭,KT,우익수,14,2,33 2/3,1,0,2,0,0,0.667,0,0,0,-
